Time,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-02-12T09:00,-4.1,73,17.3
2025-02-12T10:00,-3.5,70,17.3
2025-02-12T11:00,-2.6,67,17.3
2025-02-12T12:00,-1.9,65,17.0
2025-02-12T13:00,-1.4,64,16.6
2025-02-12T14:00,-1.0,64,16.3
2025-02-12T15:00,-0.8,64,15.9
2025-02-12T16:00,-1.1,66,15.5
2025-02-12T17:00,-1.6,68,15.5
2025-02-12T18:00,-2.1,70,15.1
2025-02-12T19:00,-2.4,72,14.8
2025-02-12T20:00,-2.7,73,14.1
2025-02-12T21:00,-3.0,74,13.8
2025-02-12T22:00,-3.3,75,13.4
2025-02-12T23:00,-3.5,76,13.4
2025-02-13T00:00,-3.8,77,13.3
2025-02-13T01:00,-4.0,78,13.0
2025-02-13T02:00,-4.2,78,13.0
2025-02-13T03:00,-4.4,79,12.7
2025-02-13T04:00,-4.7,80,12.7
2025-02-13T05:00,-4.9,81,12.3
2025-02-13T06:00,-4.9,81,12.3
2025-02-13T07:00,-4.7,79,12.3
2025-02-13T08:00,-4.3,77,12.3
2025-02-13T09:00,-3.7,74,12.3
2025-02-13T10:00,-2.6,71,12.2
2025-02-13T11:00,-1.4,67,11.9
2025-02-13T12:00,-0.3,65,11.9
2025-02-13T13:00,0.3,64,11.9
2025-02-13T14:00,0.6,64,11.5
2025-02-13T15:00,0.8,65,11.5
2025-02-13T16:00,0.7,66,11.2
2025-02-13T17:00,0.5,69,11.3
2025-02-13T18:00,0.3,71,10.9
2025-02-13T19:00,-0.0,73,11.0
2025-02-13T20:00,-0.3,76,11.2
2025-02-13T21:00,-0.5,79,11.2
2025-02-13T22:00,-0.5,82,10.7
2025-02-13T23:00,-0.5,86,10.5
